iter	Passed	Remaining
1418	12611	5163
1419	12618	5154
1420	12627	5144
1421	12635	5135
1422	12643	5126
1423	12651	5117
1424	12659	5108
1425	12667	5099
1426	12675	5089
1427	12683	5080
1428	12691	5071
1429	12700	5062
1430	12711	5054
1431	12727	5048
1432	12735	5039
1433	12744	5030
1434	12752	5021
1435	12760	5011
1436	12769	5002
1437	12777	4993
1438	12784	4984
1439	12792	4974
1440	12800	4965
1441	12808	4956
1442	12816	4947
1443	12823	4937
1444	12831	4928
1445	12839	4919
1446	12847	4910
1447	12855	4900
1448	12863	4891
1449	12871	4882
1450	12879	4872
1451	12892	4865
1452	12908	4859
1453	12916	4850
1454	12924	4841
1455	12934	4832
1456	12942	4823
1457	12950	4814
1458	12958	4805
1459	12966	4795
1460	12974	4786
1461	12981	4777
1462	12990	4768
1463	13003	4760
1464	13011	4751
1465	13019	4742
1466	13027	4733
1467	13035	4723
1468	13042	4714
1469	13050	4705
1470	13068	4699
1471	13082	4692
1472	13090	4683
1473	13099	4674
1474	13107	4665
1475	13115	4656
1476	13123	4646
1477	13131	4637
1478	13138	4628
1479	13145	4618
1480	13153	4609
1481	13161	4600
1482	13169	4591
1483	13177	4581
1484	13185	4572
1485	13193	4563
1486	13208	4556
1487	13217	4547
1488	13225	4538
1489	13237	4530
1490	13248	4522
1491	13257	4513
1492	13265	4504
1493	13274	4495
1494	13282	4486
1495	13290	4477
1496	13298	4468
1497	13308	4459
1498	13316	4450
1499	13324	4441
1500	13332	4432
1501	13341	4423
1502	13349	4414
1503	13357	4405
1504	13365	4395
1505	13372	4386
1506	13380	4377
1507	13388	4368
1508	13396	4359
1509	13412	4352
1510	13421	4343
1511	13429	4334
1512	13438	4325
1513	13446	4316
1514	13454	4307
1515	13461	4297
1516	13469	4288
1517	13477	4279
1518	13485	4270
1519	13493	4261
1520	13501	4251
1521	13509	4242
1522	13517	4233
1523	13525	4224
1524	13533	4215
1525	13540	4205
1526	13548	4196
1527	13556	4187
1528	13563	4178
1529	13571	4168
1530	13583	4161
1531	13595	4153
1532	13604	4144
1533	13611	4135
1534	13620	4126
1535	13628	4116
1536	13636	4107
1537	13644	4098
1538	13653	4089
1539	13661	4080
1540	13668	4071
1541	13677	4062
1542	13685	4053
1543	13692	4044
1544	13700	4034
1545	13708	4025
1546	13716	4016
1547	13724	4007
1548	13732	3998
1549	13739	3989
1550	13747	3979
1551	13755	3970
1552	13763	3961
1553	13774	3953
1554	13787	3945
1555	13796	3936
1556	13803	3927
1557	13812	3918
1558	13819	3909
1559	13827	3900
1560	13835	3891
1561	13843	3881
1562	13851	3872
1563	13859	3863
1564	13868	3854
1565	13876	3845
1566	13885	3836
1567	13893	3827
1568	13901	3818
1569	13909	3809
1570	13917	3800
1571	13925	3791
1572	13933	3782
1573	13944	3774
1574	13956	3766
1575	13967	3757
1576	13976	3749
1577	13985	3739
1578	13993	3730
1579	14001	3721
1580	14009	3712
1581	14017	3703
1582	14025	3694
1583	14032	3685
1584	14040	3676
1585	14048	3667
1586	14056	3658
1587	14065	3649
1588	14073	3640
1589	14080	3630
1590	14088	3621
1591	14096	3612
1592	14105	3603
1593	14113	3594
1594	14125	3586
1595	14142	3579
1596	14153	3571
1597	14161	3562
1598	14170	3553
1599	14177	3544
1600	14185	3535
1601	14193	3526
1602	14201	3517
1603	14209	3507
1604	14217	3498
1605	14225	3489
1606	14234	3481
